,tconst,titleFR,EncRunT,EncYear,EncNumR,averageRating,Crew1,Crew2
174,tt0011886,Haine implacable,1,0,0,6.9,0.0,0.0
175,tt0011890,Oui ou non,0,0,0,5.6,0.0,0.0
176,tt0011904,La carte fatale,0,0,0,6.8,0.0,0.0
177,tt0011906,Une excellente affaire,0,0,0,5.2,0.0,0.0
178,tt0011908,Les aventures de Tarzan,0,0,0,5.9,0.0,0.0
179,tt0011909,Le coeur nous trompe,1,0,0,6.6,0.0,0.0
180,tt0011912,Le vieux comédien,0,0,0,6.2,0.0,0.0
181,tt0011918,Nos chers disparus,0,0,0,6.2,0.0,0.0
182,tt0011944,Les drames de l'Alaska,0,0,0,5.0,0.0,0.0
183,tt0011948,Soyez ma femme,0,0,0,6.9,0.0,0.0
184,tt0011960,La chatte des montagne,1,0,0,6.9,0.0,0.0
185,tt0011968,Un homme libre,0,0,0,4.5,0.0,0.0
186,tt0011969,Ginette détective par amour,0,0,0,7.0,0.0,0.0
187,tt0011973,Beauté noire,0,0,0,5.9,0.0,0.0
188,tt0011990,La terre qui chante,0,0,0,6.8,-8.632558487864894e-08,-1.5351168762247112e-09
189,tt0011998,Les millions de Fatty,0,0,0,6.9,0.0,0.0
190,tt0012016,Le pirate,0,0,0,6.4,-2.49465017405824e-18,2.3414972843678697e-18
191,tt0012027,La dame aux camélias,0,0,0,6.6,0.0,0.0
192,tt0012028,Les aventures du Capitaine Barclay,0,0,0,1.6,0.0,0.0
193,tt0012045,Son enfant,0,0,0,5.8,0.0,0.0
194,tt0012068,Eugénie Grandet,1,0,0,6.7,0.0,0.0
195,tt0012077,Fatty veut se marier,0,0,0,7.2,0.0,0.0
196,tt0012087,La maison du mensonge,0,0,0,7.0,0.0,0.0
197,tt0012092,Danton,0,0,0,6.6,-0.00010872468766893049,-8.949731967575887e-05
198,tt0012114,Fatty détective amateur,0,0,0,6.6,0.0,0.0
199,tt0012117,Faut-il avouer?,0,0,0,6.1,0.0,0.0
200,tt0012122,La rue des rêves,1,0,0,5.5,0.0,0.0
201,tt0012125,La mauvaise brebis,0,0,0,6.4,0.0,0.0
202,tt0012134,El Dorado,1,0,0,7.0,0.0,0.0
203,tt0012136,Enchantement,1,0,0,6.4,0.0,0.0
204,tt0012181,Le paradis d'un fou,1,0,0,7.1,0.0,0.0
205,tt0012187,Le fruit défendu,1,0,0,6.5,0.0,0.0
206,tt0012190,Les quatre cavaliers de l'apocalypse,2,0,1,7.2,0.0,0.0
207,tt0012202,Fatty fait de l'auto,0,0,0,7.0,0.0,0.0
208,tt0012227,La galère infernale,0,0,0,5.5,0.0,0.0
209,tt0012238,L'heure suprême,0,0,0,6.0,0.0,0.0
210,tt0012248,Respectez la femme,1,0,0,7.1,0.0,0.0
211,tt0012249,Hamlet,1,0,0,7.0,0.0,0.0
212,tt0012281,L'escalier de service,0,0,0,6.8,0.0,0.0
213,tt0012322,Le triomphe du rail,0,0,0,5.8,0.0,0.0
214,tt0012328,Le coeur de Janette,0,0,0,5.2,0.0,0.0
215,tt0012334,À travers les rapides,1,0,0,6.8,0.0,0.0
216,tt0012349,Le Kid,0,0,2,8.3,0.0,0.0
217,tt0012364,La charrette fantôme,1,0,1,8.1,0.0,0.0
218,tt0012365,Les chemins de la terreur,1,0,0,5.4,0.0,0.0
219,tt0012380,Le cirque Jim,1,0,0,5.9,0.0,0.0
220,tt0012382,"Tu trembles, Fatty",0,0,0,6.1,0.0,0.0
221,tt0012397,Le petit Lord Fauntleroy,1,0,0,6.7,0.0,0.0
222,tt0012398,Endiablée,0,0,0,6.8,0.0,0.0
223,tt0012408,Le signal de l'amour,1,0,0,6.5,-1.279611668747446e-18,7.525015551941476e-19
224,tt0012422,Le chevalier errant,1,0,0,6.8,0.0,0.0
225,tt0012427,L'Orgueilleuse,0,0,0,6.0,0.0,0.0
226,tt0012445,Vox femina,1,0,0,4.4,0.0,0.0
227,tt0012468,Rêve de seize ans,1,0,0,6.4,0.0,0.0
228,tt0012486,Mon gosse,0,0,0,6.2,0.0,0.0
229,tt0012494,Les trois lumières,1,0,1,7.7,0.0,0.0
230,tt0012513,L'excentrique,0,0,0,6.5,0.0,0.0
231,tt0012520,La petite baignade,0,0,0,6.1,0.0,0.0
232,tt0012529,La poudre miraculeuse,0,0,0,6.2,0.0,0.0
233,tt0012532,Les deux orphelines,2,0,1,7.3,0.0,0.0
234,tt0012538,Les révoltés,0,0,0,6.6,0.0,0.0
235,tt0012548,Parisette,3,0,0,6.0,0.0,0.0
236,tt0012555,Dolorès,1,0,0,6.4,0.0,0.0
237,tt0012563,Le gosse infernal,0,0,0,6.3,0.0,0.0
238,tt0012600,La glorieuse Reine de Saba,1,0,0,7.1,0.0,0.0
239,tt0012642,Marin malgré lui,0,0,0,6.9,0.0,0.0
240,tt0012650,Le rail,0,0,0,6.4,0.0,0.0
241,tt0012651,La découverte d'un secret,0,0,0,6.2,0.0,0.0
242,tt0012657,Les chasseurs de baleines,0,0,0,6.5,0.0,0.0
243,tt0012675,Le cheik,1,0,1,6.4,0.0,0.0
244,tt0012685,Hurle à la mort,0,0,0,4.5,0.0,0.0
245,tt0012701,L'idole du village,0,0,0,6.3,0.0,0.0
246,tt0012745,La terre,1,0,0,6.9,0.0,0.0
