,tconst,startYear
24524,tt0010236,1919.0
24559,tt0010242,1919.0
24565,tt0010243,1919.0
24577,tt0010247,1919.0
24610,tt0010255,1919.0
24634,tt0010261,1919.0
24664,tt0010267,1919.0
24674,tt0010269,1918.0
24687,tt0010271,1919.0
24727,tt0010281,1918.0
24734,tt0010283,1919.0
24761,tt0010288,1919.0
24784,tt0010291,1919.0
24790,tt0010292,1919.0
24795,tt0010293,1919.0
24808,tt0010298,1919.0
24813,tt0010299,1919.0
24821,tt0010300,1919.0
24838,tt0010303,1919.0
24844,tt0010304,1919.0
24856,tt0010307,1919.0
24886,tt0010314,1919.0
24893,tt0010315,1919.0
24915,tt0010323,1920.0
24942,tt0010331,1919.0
25005,tt0010352,1919.0
25012,tt0010354,1919.0
25032,tt0010357,1919.0
25052,tt0010360,1919.0
25057,tt0010361,1919.0
25079,tt0010366,1919.0
25087,tt0010367,1919.0
25101,tt0010369,1919.0
25134,tt0010375,1919.0
25213,tt0010393,1919.0
25242,tt0010397,1919.0
25257,tt0010399,1919.0
25271,tt0010402,1919.0
25279,tt0010403,1919.0
25329,tt0010417,1919.0
25330,tt0010418,1919.0
25336,tt0010419,1919.0
25387,tt0010426,1919.0
25455,tt0010437,1918.0
25484,tt0010441,1919.0
25497,tt0010443,1919.0
25511,tt0010446,1918.0
25546,tt0010454,1919.0
25554,tt0010456,1919.0
25575,tt0010461,1919.0
25588,tt0010463,1919.0
25611,tt0010466,1919.0
25638,tt0010470,1919.0
25656,tt0010474,1920.0
25661,tt0010475,1919.0
25668,tt0010476,1919.0
25674,tt0010478,1920.0
25698,tt0010484,1919.0
25704,tt0010488,1919.0
25745,tt0010499,1919.0
25766,tt0010505,1919.0
25773,tt0010507,1919.0
25804,tt0010521,1919.0
25814,tt0010526,1919.0
25858,tt0010534,1919.0
25890,tt0010539,1919.0
25895,tt0010543,1919.0
25902,tt0010544,1919.0
25909,tt0010545,1919.0
25924,tt0010547,1919.0
25944,tt0010553,1919.0
25952,tt0010554,1920.0
25959,tt0010555,1919.0
25989,tt0010559,1919.0
26010,tt0010562,1919.0
26034,tt0010566,1919.0
26134,tt0010592,1919.0
26161,tt0010596,1919.0
26178,tt0010598,1919.0
26186,tt0010600,1919.0
26259,tt0010615,1919.0
26265,tt0010616,1919.0
26294,tt0010621,1919.0
26324,tt0010629,1919.0
26341,tt0010637,1919.0
26355,tt0010641,1919.0
26361,tt0010642,1919.0
26369,tt0010643,1918.0
26401,tt0010651,1919.0
26422,tt0010654,1919.0
26436,tt0010660,1919.0
26450,tt0010662,1919.0
26531,tt0010686,1919.0
26555,tt0010691,1919.0
26572,tt0010694,1919.0
26579,tt0010696,1919.0
26586,tt0010697,1919.0
26636,tt0010711,1919.0
26643,tt0010712,1919.0
26658,tt0010715,1919.0
26673,tt0010717,1919.0
26699,tt0010721,1920.0
26719,tt0010726,1919.0
26726,tt0010727,1919.0
26733,tt0010728,1919.0
26762,tt0010733,1919.0
26791,tt0010739,1919.0
26814,tt0010754,1919.0
26819,tt0010755,1919.0
26916,tt0010774,1919.0
26924,tt0010775,1919.0
26962,tt0010781,1919.0
27019,tt0010791,1919.0
27025,tt0010792,1919.0
27044,tt0010795,1919.0
27055,tt0010798,1919.0
27062,tt0010800,1919.0
27068,tt0010802,1919.0
27076,tt0010804,1919.0
27083,tt0010806,1919.0
27090,tt0010807,1919.0
27098,tt0010808,1919.0
27141,tt0010821,1919.0
27146,tt0010822,1919.0
27164,tt0010825,1919.0
27185,tt0010830,1919.0
27198,tt0010832,1919.0
27219,tt0010835,1919.0
27234,tt0010839,1919.0
27266,tt0010844,1919.0
27305,tt0010850,1919.0
27314,tt0010853,1919.0
27343,tt0010861,1919.0
27350,tt0010862,1919.0
27376,tt0010868,1919.0
27383,tt0010869,1919.0
27412,tt0010873,1919.0
27425,tt0010878,1919.0
27432,tt0010879,1919.0
27444,tt0010882,1919.0
27485,tt0010890,1919.0
27497,tt0010892,1919.0
27539,tt0010903,1919.0
27575,tt0010910,1919.0
27589,tt0010913,1919.0
27628,tt0010920,1919.0
27649,tt0010926,1919.0
27673,tt0010929,1919.0
27680,tt0010932,1919.0
27695,tt0010938,1919.0
27723,tt0010945,1920.0
27730,tt0010947,1920.0
27783,tt0010957,1920.0
27790,tt0010959,1920.0
27812,tt0010962,1920.0
27835,tt0010965,1920.0
27862,tt0010969,1921.0
27944,tt0010987,1920.0
27998,tt0010998,1920.0
28012,tt0011000,1920.0
28042,tt0011005,1920.0
28084,tt0011019,1920.0
28092,tt0011020,1920.0
28103,tt0011025,1920.0
28110,tt0011026,1920.0
28137,tt0011031,1920.0
28152,tt0011038,1920.0
28294,tt0011070,1920.0
28300,tt0011073,1920.0
28322,tt0011079,1920.0
28343,tt0011082,1920.0
28357,tt0011085,1920.0
28376,tt0011089,1920.0
28383,tt0011090,1920.0
28413,tt0011095,1920.0
28427,tt0011098,1920.0
28446,tt0011103,1920.0
28483,tt0011110,1921.0
28507,tt0011114,1920.0
28520,tt0011117,1920.0
28547,tt0011121,1920.0
28559,tt0011126,1920.0
28572,tt0011128,1920.0
28579,tt0011130,1920.0
28612,tt0011139,1920.0
